id;name;barrier;tariffType;tariffGroupId;tariffGroupName;tariffGroupRushHourStart;tariffGroupRushHourEnd;tariffGroupTaxName;tariffGroupTaxRateLow;tariffGroupTaxRateLow;geometryType;geometryLatitude;geometryLongitude
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid diesel;25;31;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid bensin;21;28;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Ladbar hybrid;21;28;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Elbil;5;10;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hydrogen;0;0;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Diesel;25;31;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Bensin;21;28;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid diesel;25;31;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid bensin;21;28;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Ladbar hybrid;21;28;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Elbil;5;10;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hydrogen;0;0;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro V og eldre;86;101;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro VI;53;69;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Nullutslipp;0;0;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Andre;0;0;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro VI;53;69;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro V og eldre;86;101;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Andre;0;0;Point;59.909161;10.626336000000038
welnpt8mo09;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Nullutslipp;0;0;Point;59.909161;10.626336000000038
3jj3bvp46jb;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Diesel;25;31;Point;59.91156;10.632618999999977
3jj3bvp46jb;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid bensin;21;28;Point;59.91156;10.632618999999977
3jj3bvp46jb;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Bensin;21;28;Point;59.91156;10.632618999999977
3jj3bvp46jb;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid diesel;25;31;Point;59.91156;10.632618999999977
